№ п/п;Реестровый №;Краткое наименование юридического лица, за которым закреплено  имущество области;Уставный фонд, тыс.руб.;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
1;3492;Государственное предприятие Вологодской области "Череповецтехинвентаризация";500;6489.0429999999997;437.54700000000003;;;;;987.8;
2;3495;Государственное предприятие Вологодской области "Вологдатехинвентаризация";500;17422;8664;;;;;11150;
3;3739;Государственное унитарное предприятие Вологодской области "Вологдаоблстройзаказчик";6431.9290000000001;8000.6125999999995;3679.0260499999999;155126.16832999999;;;;;
4;221;Белозерское государственное предприятие Вологодской области по эксплуатации коммунальных, электрических и тепловых сетей;8.5;34449.576999999997;20023.643050000002;;;;;58527;
5;755;Вытегорское государственное предприятие Вологодской области по эксплуатации коммунальных, электрических и тепловых сетей;4248.6835999999994;208057.72137000001;142202.30366000001;;;21852.79;;;
6;1816;Вожегодское государственное предприятие Вологодской области по эксплуатации коммунальных электрических и тепловых сетей;3969.2719999999999;270234.40600000002;166164.19399999999;191.29599999999999;34012.737999999998;;;9406.7720000000008;
7;3792;Череповецкое государственное предприятие Вологодской области по эксплуатации коммунальных электрических и тепловых сетей;3057.5004800000002;382406.40344999998;202715.23803000001;14773.922;15624;4977.8634199999997;;;
8;4234;Государственное энергетическое, энергоснабжающее и электрораспределительное предприятие  Вологодской области "Вологдаоблкоммунэнерго";100;4068257.7882699999;3250870.1456999998;;;69.999990000000011;;;
9;4235;Государственное предприятие Вологодской области "Областные электротеплосети";855.18061999999998;2676210.7599800001;1070213.7303899999;;;7709.0697599999994;;;
10;2863;Государственное предприятие Вологодской области "Дирекция по строительству, содержанию автомобильных дорог и автобусных перевозок";643;356651.06744999997;62382.707200000004;;;;;72294.585999999996;
11;2864;Государственное предприятие Вологодской области "Дирекция по организации автобусных перевозок";0;5639.6395899999998;2451.7756400000003;;;;;;
12;3883;Государственное предприятие  Вологодской области "Сокольское пассажирское автотранспортное предприятие";505.6;9403;2778.6;;;;;1607;
13;1359;Государственное  сельскохозяйственное предприятие Вологодской области "Осаново";4.6675000000000004;27382.956579999998;14621.36651;;;300.08499999999998;;;
14;3714;Государственное предприятие Вологодской области "Вологодское областное аграрно-продовольственное агентство";183173;48812.966;26815.406999999999;;;46075;;;
15;507;Государственное предприятие Вологодской области "Санаторий Леденгск";714.5;125826.93892;110118.93576000001;4024.5324300000002;1600.41778;;;2426.88913;
16;829;Государственное унитарное предприятие Вологодской области "Бабаевское районное производственное предприятие "Фармация";100;4668.3440000000001;2193.0390000000002;;;;;3678.92;
17;4239;Государственное предприятие Вологодской области "Государственное производственно-торговое предприятие "Фармация";600;34148.581389999999;20800.428809999998;;;;;65038.700619999996;
