Раздел I. Областное имущество, закрепленное за юридическими лицами на праве хозяйственного ведения;;;;;;;;;;;
по состоянию на 01.10.2013;;;;;;;;;;;
;;;;;;;;;;;
№ п/п;Реестровый №;Краткое наименование юридического лица, за которым закреплено  имущество области;Уставный фонд, тыс.руб.;Балансовая стоимость основных средств, 
тыс. руб.;Остаточная стоимость основных средств, 
тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
1;2;3;4;5;6;7;8;9;10;11;
1;3492;Государственное предприятие Вологодской области "Череповецтехинвентаризация";500;6489,043;437,547;;100,702;;;987,8;
2;3495;Государственное предприятие Вологодской области "Вологдатехинвентаризация";500;17422;8664;;;;;11150;
3;3739;Государственное унитарное предприятие Вологодской области "Вологдаоблстройзаказчик";6431,929;8000,6126;3679,02605;155126,16833;;180;;720734;
4;221;Белозерское государственное предприятие Вологодской области по эксплуатации коммунальных, электрических и тепловых сетей;8,5;34449,577;20023,64305;;;;;58527;
5;755;Вытегорское государственное предприятие Вологодской области по эксплуатации коммунальных, электрических и тепловых сетей;4248,6836;208057,72137;142202,30366;;24572;21852,79;;61405,34534;
6;1816;Вожегодское государственное предприятие Вологодской области по эксплуатации коммунальных электрических и тепловых сетей;3969,272;270234,406;166164,194;191,296;34012,738;;;9406,772;
7;3792;Череповецкое государственное предприятие Вологодской области по эксплуатации коммунальных электрических и тепловых сетей;3057,50048;382406,40345;202715,23803;14773,922;15624;4977,86342;;2310,99725;
8;4234;Государственное энергетическое, энергоснабжающее и электрораспределительное предприятие  Вологодской области "Вологдаоблкоммунэнерго";100;4068257,78827;3250870,1457;;34350,01437;69,99999;;723728,83994;
9;4235;Государственное предприятие Вологодской области "Областные электротеплосети";855,18062;2676210,75998;1070213,73039;;133498,94505;7709,06976;;318751,42287;
10;2863;Государственное предприятие Вологодской области "Дирекция по строительству, содержанию автомобильных дорог и автобусных перевозок";643;356651,06745;62382,7072;;;;;72294,586;
11;2864;Государственное предприятие Вологодской области "Дирекция по организации автобусных перевозок";0;5639,63959;2451,77564;;70628,53;;;;
12;3883;Государственное предприятие  Вологодской области "Сокольское пассажирское автотранспортное предприятие";505,6;9403;2778,6;;;;;1607;
13;1359;Государственное  сельскохозяйственное предприятие Вологодской области "Осаново";4,6675;27382,95658;14621,36651;;;300,085;;17365;
14;3714;Государственное предприятие Вологодской области "Вологодское областное аграрно-продовольственное агентство";183173;48812,966;26815,407;;70628,53;46075;;559977,063;
15;507;Государственное предприятие Вологодской области "Санаторий Леденгск";714,5;125826,93892;110118,93576;4024,53243;1600,41778;;;2426,88913;
16;829;Государственное унитарное предприятие Вологодской области "Бабаевское районное производственное предприятие "Фармация";100;4668,344;2193,039;;6334;;;3678,92;
17;4239;Государственное предприятие Вологодской области "Государственное производственно-торговое предприятие "Фармация";600;34148,58139;20800,42881;;43548,18109;;;65038,70062;
;;Всего по разделу I;;8284061,8056;5107132,0878;174115,91876;383793,55474;81164,80817;;2629390,33615;
